city,state,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,Composite_AQI,Dominant_Pollutant,AQI_Category
Nellore,Andhra_Pradesh,2.0,1.0,29.0,32.0,37.0,62.0,12.0,62.0,PM2.5,Moderate
Aurangabad,Bihar,5.0,0.0,10.0,60.0,47.0,62.0,14.0,62.0,PM2.5,Moderate
Amaravati,Andhra_Pradesh,1.0,1.0,20.0,62.0,50.0,47.0,19.0,62.0,OZONE,Moderate
Kalaburagi,Karnataka,2.0,1.0,20.0,,49.0,62.0,5.0,62.0,PM2.5,Moderate
Dombivli,Maharashtra,1.0,0.0,34.0,30.0,59.0,58.0,10.0,59.0,PM10,Moderate
Dhanbad,Jharkhand,3.0,,,58.0,,,,58.0,OZONE,Moderate
Bagalkot,Karnataka,1.0,0.0,14.0,12.0,52.0,57.0,9.0,57.0,PM2.5,Moderate
Shivamogga,Karnataka,1.0,0.0,26.0,56.0,44.0,43.0,4.0,56.0,OZONE,Moderate
Bettiah,Bihar,1.0,0.0,10.0,21.0,39.0,55.0,28.0,55.0,PM2.5,Moderate
Bhiwani,Haryana,0.0,2.0,11.0,5.0,28.0,55.0,10.0,55.0,PM2.5,Moderate
Naharlagun,Arunachal_Pradesh,1.0,0.0,9.0,6.0,36.0,53.0,12.0,53.0,PM2.5,Moderate
Nalbari,Assam,1.0,2.0,18.0,16.0,35.0,53.0,29.0,53.0,PM2.5,Moderate
Thiruvananthapuram,Kerala,2.0,,,24.5,47.0,52.0,25.0,52.0,PM2.5,Moderate
Sivasagar,Assam,1.0,2.0,34.0,52.0,30.0,35.0,10.0,52.0,OZONE,Moderate
Vijayapura,Karnataka,2.0,1.0,14.0,16.0,39.0,50.0,4.0,50.0,PM2.5,Good
